sponsor,xml,title,summary,start_year,start_month,phase,conditions,enrollment,status,meshes,condition_final
Sanofi,NCT00003821.xml,Phase II Trial of Aminopterin in Patients With Persistent or Recurrent Endometrial Carcinoma,RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. PURPOSE: Phase II trial to study the effectiveness of aminopterin in treating patients who have refractory or recurrent endometrial cancer.,1998,1,Phase 2,['Endometrial Cancer'],0,Withdrawn,['Endometrial Neoplasms'],Endometrial Neoplasms
Sanofi,NCT00005645.xml,Phase II Trial of ILX295501 Administered Orally Once Weekly x 3 Repeated Every 6 Weeks in Patients With Stage III/IV Ovarian Cancer,RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. PURPOSE: Phase II trial to study the effectiveness of ILX-295501 in treating patients who have stage III or stage IV ovarian cancer that has not responded to previous therapy.,1999,5,Phase 2,"['Fallopian Tube Cancer', 'Metastatic Cancer', 'Ovarian Cancer', 'Primary Peritoneal Cavity Cancer']",0,Withdrawn,"['Ovarian Neoplasms', 'Neoplasms, Glandular and Epithelial', 'Fallopian Tube Neoplasms', 'Neoplasm Metastasis', 'Peritoneal Neoplasms']",Ovarian Neoplasms
Sanofi,NCT00008281.xml,"A Multicenter, Open-Label, Randomized, Three-Arm Study Of 5-Fluorouracil (5-FU) Plus Leucovorin (LV) Or Oxaliplatin Or A Combination Of (5-Fu) LV + Oxaliplatin As Second-Line Treatment Of Metastatic Colorectal Carcinoma",RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. It is not yet known which regimen of chemotherapy is more effective for metastatic colorectal cancer. PURPOSE: Phase III trial to compare the effectiveness of three chemotherapy regimens in treating patients who have metastatic colorectal cancer.,2000,10,Phase 3,['Colorectal Cancer'],0,Unknown status,['Colorectal Neoplasms'],Colorectal Neoplasms
Sanofi,NCT00012389.xml,"A Multicenter, Open-Label, Randomized, Two-Arm Study of Irinotecan (CPT-11) Versus the Combination of Oxaliplatin + Irinotecan (CPT-11) as Second-Line Treatment of Metastatic Colorectal Carcinoma",RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. It is not yet known if irinotecan is more effective with or without oxaliplatin in treating metastatic colorectal cancer. PURPOSE: Randomized phase III trial to compare the effectiveness of irinotecan with or without oxaliplatin in treating patients who have metastatic colorectal cancer.,2000,12,Phase 3,['Colorectal Cancer'],0,Completed,['Colorectal Neoplasms'],Colorectal Neoplasms
Sanofi,NCT00017459.xml,"The International Tirazone Triple Trial (i3T): A Phase III, Randomized Efficacy And Safety Study Of The Combination Chemotherapy With Tirapazamine+Cisplatin+Vinorelbine Versus Cisplatin+Vinorelbine In Subjects With Inoperable, Previously Untreated, Non-Small Cell Lung Cancer",RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. It is not yet known if cisplatin and vinorelbine are more effective with or without tirapazamine in treating non-small cell lung cancer PURPOSE: Randomized phase III trial to compare the effectiveness of cisplatin plus vinorelbine with or without tirapazamine in treating patients who have stage IIIB or stage IV non-small cell lung cancer.,2000,7,Phase 3,['Lung Cancer'],0,Completed,"['Lung Neoplasms', 'Carcinoma, Non-Small-Cell Lung']","Carcinoma, Non-Small-Cell Lung"
Sanofi,NCT00021255.xml,"Multicenter Phase III Randomized Trial Comparing Doxorubicin and Cyclophosphamide Followed By Docetaxel (AC-T) With Doxorubicin and Cyclophosphamide Followed By Docetaxel and Trastuzumab (Herceptin)(AC-TH) and With Docetaxel, Carboplatin and Trastuzumab (TCH) In The Adjuvant Treatment Of Node Positive and High Risk Node Negative Patients With Operable Breast Cancer Containing The HER2 Alteration","Primary objective: - Compare disease-free survival in women with human epidermal growth factor receptor 2 (HER2)-neu-expressing node-positive or high-risk node-negative operable breast cancer treated with adjuvant doxorubicin, cyclophosphamide, and docetaxel with or without trastuzumab (Herceptin) vs trastuzumab, docetaxel, and carboplatin. Secondary objective: - Compare overall survival of participants treated with these regimens. - Compare the toxic effects (including cardiac) of these regimens in these participants. - Compare quality of life of participants treated with these regimens. - Compare pathologic and molecular markers for predicting efficacy of these regimens in these participants. - For substudy: Compare peripheral levels of shed HER2-neu extracellular domain with fluorescence in situ hybridization in predicting outcome in participants treated with these regimens.",2001,4,Phase 3,['Breast Neoplasms'],3222,Completed,['Breast Neoplasms'],Breast Neoplasms
Sanofi,NCT00034918.xml,"An Open-label, Multicenter Phase II Study to Assess the Response of Subjects With Metastatic Breast Cancer Previously Treated With Anthracycline and Taxane Therapy With or Without Capecitabine to ZD6474 (100-mg or 300-mg Daily Oral Dose).",The purpose of this study is to assess the efficacy of ZD6474 in patients with metastatic breast cancer at 2 dose levels.,2002,5,Phase 2,"['Breast Neoplasms', 'Metastases, Neoplasm']",44,Completed,"['Breast Neoplasms', 'Neoplasms', 'Neoplasm Metastasis']",Breast Neoplasms
Sanofi,NCT00047840.xml,"A Randomized, Double-blind, Multicenter, Phase II Study to Assess the Safety, Tolerability, and Efficacy of ZD6474 in Combination With Docetaxel (TAXOTERE™) in Subjects With Locally Advanced or Metastatic Non-small Cell Lung Cancer (NSCLC) After Failure of Prior Platinum-based Chemotherapy.",The purpose of this study is to assess the efficacy and safety of ZD6474 in patients with NSCLC after Failure of Prior Platinum-based Chemotherapy.,2002,10,Phase 2,"['Non-Small Cell Lung Cancer (NSCLC, Locally Advanced or Metastatic, Second-line']",129,Completed,"['Lung Neoplasms', 'Carcinoma, Non-Small-Cell Lung']","Carcinoma, Non-Small-Cell Lung"
Sanofi,NCT00050323.xml,Phase 1/2 Study to Assess the Safety and Efficacy of Vaccinations With Allogeneic Dendritic Cells: Autologous Tumor-Derived Cells Subjected to Electrofusion in Patients With AJCC Stage IV Renal Cell Carcinoma,The primary purpose of this study is to determine the safety of injections prepared from donor blood cells fused to a patient's own tumor cells which are then used to treat advanced (Stage IV) kidney cancer (renal cell carcinoma or RCC). The study will also explore the effect the injections have on the size of the tumor and the response in the patient's immune system following administration.,2002,11,Phase 1/Phase 2,"['Carcinoma, Renal Cell']",30,Completed,"['Carcinoma', 'Carcinoma, Renal Cell']","Carcinoma, Renal Cell"
Sanofi,NCT00059722.xml,"A Phase II, Randomized Double-blind, 2-part, Multicenter Study to Compare the Efficacy of ZD6474 With the Efficacy of ZD1839 (Iressa™) in Subjects With Locally Advanced or Metastatic (IIIB/IV) Non-small Cell Lung Cancer After Failure of First-line Platinum-based Chemotherapy and to Assess the Activity of ZD6474 in Subjects Following Failure of Treatment With ZD1839.",The purpose of this study is to compare the efficacy of ZD6474 and ZD1839 in patients with NSCLC after Failure of Prior Platinum-based Chemotherapy.,2003,5,Phase 2,"['Carcinoma, Non-Small-Cell Lung']",160,Completed,"['Carcinoma, Non-Small-Cell Lung']","Carcinoma, Non-Small-Cell Lung"
